tradingDay,unix,symbol,Open,High,Low,Close,Volume BTC,Volume USDT,tradecount
2021-02-01 07:33:00,1612144980000,ETHUSDT,1314.02,1314.29,1310.05,1310.38,808302.41047,0,615.994
2021-02-01 07:34:00,1612145040000,ETHUSDT,1310.19,1311.39,1309.1,1310.66,1437898.94855,0,1097.668
2021-02-01 07:35:00,1612145100000,ETHUSDT,1310.67,1313.39,1310.0,1313.38,3429990.71765,0,2615.574
2021-02-01 07:36:00,1612145160000,ETHUSDT,1313.38,1315.16,1313.06,1314.96,1072341.34146,0,815.965
2021-02-01 07:37:00,1612145220000,ETHUSDT,1314.96,1315.88,1313.79,1315.53,781853.14035,0,594.447
2021-02-01 07:38:00,1612145280000,ETHUSDT,1315.52,1318.0,1314.17,1317.39,1020114.18619,0,774.82
2021-02-01 07:39:00,1612145340000,ETHUSDT,1317.39,1318.03,1316.12,1316.43,517336.00894,0,392.852
2021-02-01 07:40:00,1612145400000,ETHUSDT,1316.43,1317.0,1315.01,1316.4,343854.46897,0,261.293
2021-02-01 07:41:00,1612145460000,ETHUSDT,1316.4,1316.73,1316.1,1316.45,198023.01773,0,150.424
2021-02-01 07:42:00,1612145520000,ETHUSDT,1316.45,1317.92,1315.71,1315.97,716029.60285,0,543.604
2021-02-01 07:43:00,1612145580000,ETHUSDT,1316.03,1318.08,1316.02,1317.98,594971.5057,0,451.628
2021-02-01 07:44:00,1612145640000,ETHUSDT,1317.98,1319.36,1316.96,1317.0,786421.26383,0,596.537
2021-02-01 07:45:00,1612145700000,ETHUSDT,1316.75,1319.25,1316.54,1318.76,2003574.81227,0,1519.995
2021-02-01 07:46:00,1612145760000,ETHUSDT,1318.75,1322.31,1318.75,1321.88,1777481.56113,0,1345.677
2021-02-01 07:47:00,1612145820000,ETHUSDT,1321.86,1326.2,1321.55,1325.53,7480501.70311,0,5646.669
2021-02-01 07:48:00,1612145880000,ETHUSDT,1325.57,1325.9,1323.6,1323.6,1154541.1014,0,871.492
2021-02-01 07:49:00,1612145940000,ETHUSDT,1323.6,1325.83,1320.18,1320.25,1150117.37441,0,869.024
2021-02-01 07:50:00,1612146000000,ETHUSDT,1320.18,1326.12,1320.18,1325.45,2254966.23427,0,1702.881
2021-02-01 07:51:00,1612146060000,ETHUSDT,1325.4,1325.4,1322.44,1324.22,808009.75855,0,610.486
2021-02-01 07:52:00,1612146120000,ETHUSDT,1324.23,1324.38,1321.19,1321.58,598563.94092,0,452.317
2021-02-01 07:53:00,1612146180000,ETHUSDT,1321.49,1323.84,1321.2,1321.44,588595.59444,0,445.109
2021-02-01 07:54:00,1612146240000,ETHUSDT,1321.49,1322.61,1320.47,1320.62,354374.20867,0,268.15
2021-02-01 07:55:00,1612146300000,ETHUSDT,1320.6,1322.76,1320.12,1320.15,405672.77084,0,306.934
2021-02-01 07:56:00,1612146360000,ETHUSDT,1320.31,1320.6,1317.78,1320.41,3058276.8169,0,2318.668
2021-02-01 07:57:00,1612146420000,ETHUSDT,1320.25,1320.64,1318.72,1318.89,768966.54233,0,582.605
2021-02-01 07:58:00,1612146480000,ETHUSDT,1318.89,1319.19,1317.82,1318.09,1403344.2359,0,1064.336
2021-02-01 07:59:00,1612146540000,ETHUSDT,1318.09,1318.72,1317.36,1318.18,312112.39429,0,236.794
2021-02-01 08:00:00,1612146600000,ETHUSDT,1318.18,1321.3,1318.0,1320.45,909556.0122,0,689.278
2021-02-01 08:01:00,1612146660000,ETHUSDT,1320.58,1320.85,1315.56,1315.56,514815.29205,0,390.361
2021-02-01 08:02:00,1612146720000,ETHUSDT,1315.53,1316.73,1314.71,1316.25,751856.86288,0,571.414
2021-02-01 08:03:00,1612146780000,ETHUSDT,1316.26,1318.5,1316.26,1316.88,1353378.51919,0,1026.953
2021-02-01 08:04:00,1612146840000,ETHUSDT,1316.86,1320.23,1316.32,1316.65,1012055.49043,0,767.51
2021-02-01 08:05:00,1612146900000,ETHUSDT,1316.36,1318.84,1316.16,1317.3,571735.14651,0,433.894
2021-02-01 08:06:00,1612146960000,ETHUSDT,1317.34,1318.07,1317.0,1317.0,243374.58105,0,184.722
2021-02-01 08:07:00,1612147020000,ETHUSDT,1317.04,1318.6,1317.01,1317.26,316939.5341,0,240.525
2021-02-01 08:08:00,1612147080000,ETHUSDT,1317.27,1318.96,1317.2,1317.86,305046.59422,0,231.43
2021-02-01 08:09:00,1612147140000,ETHUSDT,1317.86,1319.46,1317.53,1317.7,462585.75077,0,350.838
2021-02-01 08:10:00,1612147200000,ETHUSDT,1317.7,1319.07,1317.53,1317.8,326192.49604,0,247.49
2021-02-01 08:11:00,1612147260000,ETHUSDT,1317.8,1318.82,1317.3,1317.3,480852.60572,0,364.827
2021-02-01 08:12:00,1612147320000,ETHUSDT,1317.31,1317.37,1315.08,1315.74,318233.63543,0,241.781
2021-02-01 08:13:00,1612147380000,ETHUSDT,1315.74,1316.81,1315.04,1315.1,376734.737,0,286.292
2021-02-01 08:14:00,1612147440000,ETHUSDT,1315.1,1315.5,1312.69,1312.82,1083427.42172,0,824.789
2021-02-01 08:15:00,1612147500000,ETHUSDT,1312.88,1317.62,1312.88,1316.54,905442.84763,0,688.07
2021-02-01 08:16:00,1612147560000,ETHUSDT,1316.54,1317.0,1314.21,1316.99,562821.83819,0,427.821
2021-02-01 08:17:00,1612147620000,ETHUSDT,1316.99,1318.08,1315.43,1318.08,618559.82232,0,469.785
2021-02-01 08:18:00,1612147680000,ETHUSDT,1318.11,1318.34,1316.15,1316.82,296742.5284,0,225.337
2021-02-01 08:19:00,1612147740000,ETHUSDT,1316.82,1318.46,1315.5,1318.28,472584.19903,0,358.642
2021-02-01 08:20:00,1612147800000,ETHUSDT,1318.29,1318.44,1316.44,1316.51,348289.62615,0,264.366
2021-02-01 08:21:00,1612147860000,ETHUSDT,1316.58,1317.7,1316.0,1317.58,276653.31958,0,210.071
2021-02-01 08:22:00,1612147920000,ETHUSDT,1317.58,1318.0,1316.45,1317.61,285111.27933,0,216.46
2021-02-01 08:23:00,1612147980000,ETHUSDT,1317.61,1320.31,1317.16,1319.8,981675.7542,0,744.341
2021-02-01 08:24:00,1612148040000,ETHUSDT,1319.8,1319.8,1317.75,1318.47,595165.10515,0,451.408
2021-02-01 08:25:00,1612148100000,ETHUSDT,1318.21,1319.82,1318.0,1319.44,205051.87276,0,155.535
2021-02-01 08:26:00,1612148160000,ETHUSDT,1319.39,1319.65,1318.09,1318.21,569509.86888,0,431.845
2021-02-01 08:27:00,1612148220000,ETHUSDT,1318.22,1318.9,1316.51,1318.02,700288.05187,0,531.413
2021-02-01 08:28:00,1612148280000,ETHUSDT,1318.02,1319.93,1316.98,1319.62,239971.41439,0,182.003
2021-02-01 08:29:00,1612148340000,ETHUSDT,1319.63,1320.7,1319.29,1320.0,673552.16851,0,510.221
2021-02-01 08:30:00,1612148400000,ETHUSDT,1320.0,1322.42,1319.82,1319.82,1669900.96645,0,1263.653
2021-02-01 08:31:00,1612148460000,ETHUSDT,1319.82,1319.83,1316.94,1316.94,460642.31356,0,349.465
2021-02-01 08:32:00,1612148520000,ETHUSDT,1316.95,1317.4,1315.81,1317.34,294353.76621,0,223.553
2021-02-01 08:33:00,1612148580000,ETHUSDT,1317.34,1317.86,1316.51,1316.82,324254.65945,0,246.169
2021-02-01 08:34:00,1612148640000,ETHUSDT,1316.83,1316.93,1316.08,1316.11,79852.91403,0,60.656
2021-02-01 08:35:00,1612148700000,ETHUSDT,1316.06,1318.0,1316.01,1317.2,333650.90623,0,253.304
2021-02-01 08:36:00,1612148760000,ETHUSDT,1317.2,1318.18,1317.2,1318.17,475159.79156,0,360.588
2021-02-01 08:37:00,1612148820000,ETHUSDT,1318.17,1318.63,1317.37,1318.62,427010.53439,0,323.944
2021-02-01 08:38:00,1612148880000,ETHUSDT,1318.62,1320.44,1318.62,1320.02,431921.80428,0,327.258
2021-02-01 08:39:00,1612148940000,ETHUSDT,1320.03,1321.95,1319.82,1320.77,738667.92969,0,559.034
2021-02-01 08:40:00,1612149000000,ETHUSDT,1320.79,1321.08,1318.6,1318.8,368477.22468,0,279.132
2021-02-01 08:41:00,1612149060000,ETHUSDT,1318.65,1319.04,1316.9,1318.03,512397.07725,0,388.764
2021-02-01 08:42:00,1612149120000,ETHUSDT,1318.04,1318.51,1317.25,1318.0,537835.75685,0,408.119
2021-02-01 08:43:00,1612149180000,ETHUSDT,1318.07,1318.69,1316.0,1316.3,342439.46791,0,260.064
2021-02-01 08:44:00,1612149240000,ETHUSDT,1316.29,1317.38,1315.9,1317.08,395703.28291,0,300.58
2021-02-01 08:45:00,1612149300000,ETHUSDT,1317.09,1318.31,1316.62,1317.43,478892.68243,0,363.577
2021-02-01 08:46:00,1612149360000,ETHUSDT,1317.38,1318.7,1316.34,1317.02,1042245.43804,0,790.863
2021-02-01 08:47:00,1612149420000,ETHUSDT,1317.03,1317.03,1315.0,1315.42,192171.58935,0,146.018
2021-02-01 08:48:00,1612149480000,ETHUSDT,1315.3,1317.24,1315.08,1316.07,713718.54335,0,542.187
2021-02-01 08:49:00,1612149540000,ETHUSDT,1316.08,1318.55,1316.08,1316.79,1120129.77566,0,849.991
2021-02-01 08:50:00,1612149600000,ETHUSDT,1316.8,1317.32,1314.71,1315.34,299879.43853,0,227.926
2021-02-01 08:51:00,1612149660000,ETHUSDT,1315.35,1316.75,1314.9,1316.69,320670.84265,0,243.703
2021-02-01 08:52:00,1612149720000,ETHUSDT,1316.64,1318.6,1316.64,1317.27,357122.69011,0,271.045
2021-02-01 08:53:00,1612149780000,ETHUSDT,1317.26,1318.78,1313.56,1314.09,536863.30967,0,407.849
2021-02-01 08:54:00,1612149840000,ETHUSDT,1314.1,1315.8,1313.05,1313.4,491064.0842,0,373.711
2021-02-01 08:55:00,1612149900000,ETHUSDT,1313.36,1313.63,1312.03,1313.11,602562.04345,0,459.001
2021-02-01 08:56:00,1612149960000,ETHUSDT,1313.12,1313.92,1312.13,1313.81,586857.05368,0,446.93
2021-02-01 08:57:00,1612150020000,ETHUSDT,1313.82,1313.9,1312.8,1313.42,526697.58754,0,401.066
2021-02-01 08:58:00,1612150080000,ETHUSDT,1313.5,1314.17,1312.61,1313.78,291026.15142,0,221.607
2021-02-01 08:59:00,1612150140000,ETHUSDT,1313.79,1316.18,1313.15,1314.87,531634.93103,0,404.231
2021-02-01 09:00:00,1612150200000,ETHUSDT,1314.87,1316.65,1314.18,1316.64,387878.48104,0,294.814
2021-02-01 09:01:00,1612150260000,ETHUSDT,1316.65,1317.3,1315.36,1316.28,466305.06442,0,354.214
2021-02-01 09:02:00,1612150320000,ETHUSDT,1316.29,1317.77,1315.03,1317.63,418139.59814,0,317.591
2021-02-01 09:03:00,1612150380000,ETHUSDT,1317.31,1317.31,1315.01,1316.1,226168.05979,0,171.828
2021-02-01 09:04:00,1612150440000,ETHUSDT,1316.1,1317.41,1315.34,1317.41,412037.30737,0,312.921
2021-02-01 09:05:00,1612150500000,ETHUSDT,1317.41,1318.61,1316.26,1317.5,815105.53272,0,618.448
2021-02-01 09:06:00,1612150560000,ETHUSDT,1317.49,1318.02,1317.32,1317.45,353857.16915,0,268.544
2021-02-01 09:07:00,1612150620000,ETHUSDT,1317.45,1321.79,1317.45,1321.34,1779153.19715,0,1347.784
2021-02-01 09:08:00,1612150680000,ETHUSDT,1321.35,1321.61,1318.26,1318.64,1151942.51472,0,872.633
2021-02-01 09:09:00,1612150740000,ETHUSDT,1318.65,1322.5,1318.28,1321.87,1446378.11545,0,1094.724
2021-02-01 09:10:00,1612150800000,ETHUSDT,1321.87,1323.58,1321.86,1321.97,823785.02361,0,622.755
2021-02-01 09:11:00,1612150860000,ETHUSDT,1321.97,1321.97,1320.25,1320.26,721470.89758,0,546.133
2021-02-01 09:12:00,1612150920000,ETHUSDT,1320.26,1320.87,1318.94,1320.87,240373.69402,0,182.149
2021-02-01 09:13:00,1612150980000,ETHUSDT,1320.93,1321.78,1320.54,1320.54,200911.36713,0,152.074
2021-02-01 09:14:00,1612151040000,ETHUSDT,1320.45,1321.35,1319.34,1319.34,239709.26934,0,181.562
2021-02-01 09:15:00,1612151100000,ETHUSDT,1319.3,1320.12,1318.47,1319.72,387161.07346,0,293.471
2021-02-01 09:16:00,1612151160000,ETHUSDT,1319.72,1319.72,1318.53,1319.38,308229.85596,0,233.677
2021-02-01 09:17:00,1612151220000,ETHUSDT,1319.42,1320.74,1318.52,1319.94,1257227.94245,0,952.263
2021-02-01 09:18:00,1612151280000,ETHUSDT,1319.89,1322.76,1319.79,1319.8,392025.81973,0,296.59
2021-02-01 09:19:00,1612151340000,ETHUSDT,1319.8,1321.83,1319.8,1320.59,1576452.25259,0,1193.089
2021-02-01 09:20:00,1612151400000,ETHUSDT,1320.59,1320.82,1318.56,1319.54,203029.55191,0,153.819
2021-02-01 09:21:00,1612151460000,ETHUSDT,1319.46,1319.61,1317.36,1317.64,268161.7345,0,203.373
